C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
8591  |   - DrawIndexedInstanced(780, 1)                                  | 323    | 1.44
8601  |   - DrawIndexedInstanced(228, 1)                                  | 324    | 1.696
8611  |   - DrawIndexedInstanced(240, 1)                                  | 325    | 3.552
8621  |   - DrawIndexedInstanced(2856, 1)                                 | 326    | 2.88
8631  |   - DrawIndexedInstanced(780, 1)                                  | 327    | 3.52
8641  |   - DrawIndexedInstanced(228, 1)                                  | 328    | 3.456
8651  |   - DrawIndexedInstanced(240, 1)                                  | 329    | 3.584
8661  |   - DrawIndexedInstanced(2856, 1)                                 | 330    | 3.872
8671  |   - DrawIndexedInstanced(780, 1)                                  | 331    | 3.04
8681  |   - DrawIndexedInstanced(228, 1)                                  | 332    | 2.88
8691  |   - DrawIndexedInstanced(240, 1)                                  | 333    | 4.032
8693  | - => ExecuteCommandLists(2)[0]: Close(Baked Command List 10033)   | 334    |
8694  | - => ExecuteCommandLists(2)[1]: Reset(Baked Command List 10034)   | 334    |
8695  | - LinearDepth                                                     |        | 20.096
8703  |  \- Dispatch(240, 135, 1)                                         | 334    | 20.096
8705  | - => ExecuteCommandLists(2)[1]: Close(Baked Command List 10034)   | 335    |
8708  | - => ExecuteCommandLists(2)[0]: Reset(Baked Command List 10035)   | 335    |
8709  | - ScreenSpaceDepthTechniquePass                                   | 335-336 | 455.808
8710  |  \- CustomBentNormal                                              |        | 455.808
8718  |    \- Dispatch(240, 135, 1)                                       | 335    | 455.808
8721  | - => ExecuteCommandLists(2)[0]: Close(Baked Command List 10035)   | 336    |
8722  | - => ExecuteCommandLists(2)[1]: Reset(Baked Command List 10036)   | 336    |
8724  | - => ExecuteCommandLists(2)[1]: Close(Baked Command List 10036)   | 336    |
8727  | - => ExecuteCommandLists(9)[0]: Reset(Baked Command List 10038)   | 336    |
8728  | - GBuffer                                                         | 336-667 | 1443.072
8742  |  \- DrawIndexedInstanced(44832, 1)                                | 336    | 9.28
8752  |   - DrawIndexedInstanced(6900, 1)                                 | 337    | 4.256
8762  |   - DrawIndexedInstanced(8280, 1)                                 | 338    | 4.32
8772  |   - DrawIndexedInstanced(8970, 1)                                 | 339    | 4.064
8782  |   - DrawIndexedInstanced(5520, 1)                                 | 340    | 4.224
8792  |   - DrawIndexedInstanced(4830, 1)                                 | 341    | 4.00
8802  |   - DrawIndexedInstanced(9660, 1)                                 | 342    | 4.00
8812  |   - DrawIndexedInstanced(17316, 1)                                | 343    | 6.816
8822  |   - DrawIndexedInstanced(202404, 1)                               | 344    | 9.088
8832  |   - DrawIndexedInstanced(144, 1)                                  | 345    | 4.576
8842  |   - DrawIndexedInstanced(10947, 1)                                | 346    | 12.064
8852  |   - DrawIndexedInstanced(19296, 1)                                | 347    | 4.992
8862  |   - DrawIndexedInstanced(17112, 1)                                | 348    | 5.888
8872  |   - DrawIndexedInstanced(162, 1)                                  | 349    | 4.704
8882  |   - DrawIndexedInstanced(17580, 1)                                | 350    | 3.616
8892  |   - DrawIndexedInstanced(52659, 1)                                | 351    | 4.00
